SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
200813408010091,803910401,82,85115.38,PNX,0.009158355,0.9999914,0.9999988,0.9999293
205560301010021,651610101,34,84332.83,PNS,0.01593566,0.9999156,0.999992,0.99992085
201042601010142,824450501,136,77993.75,PNS,0.01328436,0.9999052,0.9999478,0.9999951
201042601010139,824450501,106,77993.75,PNS,0.0111348,0.999987,0.99999964,0.9999864
207843302010042,784330201,42,82931.41,PNS,0.01078725,0.99991906,0.9999976,0.99912196
207843302010074,784330201,74,82908.01,PNS,0.00995033,0.9999068,0.99999535,0.9995223
207611001010127,790380601,104,96260.79,PNS,0.011236165,0.99998975,0.9999994,0.99933064
207611001010107,790380501,96,77809.05,PNX,0.022069285,0.9999629,0.9999583,0.99920815
201485605010014,148560501,14,63349.92,PNU,0.018089635,0.9998375,0.9999243,0.99931955
203024201010016,302420101,16,79787.31,PNS,0.010623221,0.99925584,0.99996173,0.99990356
201125219010074,824610201,72,77832.77,PNS,0.011214034,0.9998554,0.9999685,0.99998724
201080604010036,555780401,30,86434.4,PNS,0.010876037,0.9999844,0.99995124,0.999918
201092707010049,763120201,56,68949.05,PNX,0.014866912,0.9999355,0.99997365,0.99987006
201080604010081,604960301,52,99400.6,PNX,0.0034161077,0.99999964,0.99999905,0.9999999
202045002010026,502140101,76,77972.37,PNS,0.00993661,0.99984,0.99996984,0.99927896
205032301010068,761620201,61,54129.4,PNX,0.015919942,0.9994856,0.99991214,0.99940956
201010401010011,831790601,3,81751.8,PNX,0.020626742,0.99962604,0.999998,0.99999726
206734901010032,673490101,32,54237.72,PNX,0.013586423,0.9999726,0.9999875,1.0
207413002010019,741300201,19,103461.8,PNX,0.009889911,0.99994576,0.9999963,0.99990904
206049603010063,604960301,63,99392.78,PNS,0.004961192,0.99999917,0.9999987,0.9999857
206567811010005,762750201,5,85677.8,PNS,0.016892737,1.0,1.0,1.0
202038101010034,300270201,63,75683.38,PNS,0.013288858,0.999941,0.9999958,0.99953663
201109504010033,841481401,17,83118.15,PNU,0.010614039,0.9999113,0.99995136,0.9999856
206031901010022,770180601,12,58682.0,PNX,0.012579353,0.9998901,0.9999974,0.99994135
207848601010131,784860101,131,89168.62,PNX,0.012113203,0.99991345,0.99999297,0.99904615
201489601010024,148960101,25,55746.7,PNS,0.01625787,0.99999046,0.99997675,0.99991035
207640101010050,764010101,53,73382.62,PNX,0.015813023,0.9997421,0.999982,0.9992429
201489601010046,148960101,47,55770.04,PNS,0.011331313,0.9999844,0.99999034,0.9999193
202047903010007,652210101,5,108911.4,PNS,0.010354819,0.9994259,0.99997973,0.9999784
201080604010036,604960301,42,99410.99,PNS,0.0047532436,0.99999964,0.9999999,1.0
201481701010028,148170101,28,67711.02,PNS,0.014920415,0.99998724,0.99999654,0.99999297
208246101010145,824610201,112,77840.56,PNS,0.013497246,0.999913,0.9999372,0.99984884
207224802010014,770980101,11,65411.31,PNS,0.0108422,1.0,1.0,1.0
201080605010097,604960301,86,99392.78,PNS,0.004632063,0.99999857,1.0,0.9999995
207610702010022,761070201,20,69610.95,PNS,0.01394605,0.9997658,0.9999174,0.9998629
201485605010030,148560501,28,63349.92,PNX,0.010109688,0.9999683,0.9999926,0.9991553
201128002010075,791010301,22,63973.0,PNS,0.012029385,0.9998474,0.9999852,0.9992687
203057509010005,841482101,10,100106.9,PNS,0.02335626,0.9994381,0.9999702,0.9995807
207611001010112,790380501,142,109909.5,PNX,0.017885648,0.99986494,0.9999968,0.9998055
206556701010071,784860101,45,89153.02,PNS,0.010615365,0.99997103,0.9999949,0.9992649
202038101010061,300270201,75,76070.74,PNX,0.016501756,0.99986804,0.99999344,0.9998547
201481701010017,148170101,15,67711.02,PNS,0.0165509,0.9999521,0.9999933,0.99999785
201080604010074,604960301,43,79261.06,PNX,0.005863423,0.999997,0.99999344,1.0
207615502010064,761550201,72,80739.44,PNS,0.009651664,0.9999354,0.99997306,0.99978703
203002702015047,300270201,48,75903.66,PNS,0.017122187,0.9998952,0.9999789,0.9997496
201010401010032,831790601,6,81793.4,PNS,0.016134044,0.99986434,0.99996936,0.9999137
201128002010050,791010101,13,120517.8,PNS,0.013269889,0.9998597,0.99999034,0.9999882
207610701010019,761070101,19,90675.0,PNS,0.014685263,0.9996189,0.9999895,0.9994116
206567810015001,824730201,8,102371.4,PNS,0.009945161,0.99993706,0.99999857,1.0
200709401010015,782650101,13,92110.79,PNX,0.017190099,0.9999567,0.9999987,0.9990404
208039104010091,803910401,91,85089.37,PNS,0.009916206,0.9999875,0.9999914,0.9997485
208039104010043,803910401,43,85089.39,PNX,0.010412024,0.99997354,0.9999956,0.99904877
201080604010046,604960301,55,99400.6,PNX,0.004347691,0.9999995,0.99999976,0.99999785
203002702010075,300270201,79,76070.78,PNX,0.011130043,0.99993896,0.999944,0.9996537
201080607010125,604960301,96,99410.99,PNS,0.00398471,0.99999964,0.99999666,0.9999999
201080605010113,604960301,112,99408.38,PNS,0.0038594108,0.9999999,1.0,0.9999999
207619208010042,761920801,44,59707.48,PNX,0.009707067,0.99999845,1.0,0.9999995
204025612010017,763120201,45,57141.12,PNX,0.011513994,0.9999994,0.99999976,0.99994683
201489601010033,148960101,32,55770.04,PNS,0.014026346,0.9999894,0.99999857,0.9998022
207207002010045,720700201,48,57538.0,PNX,0.019830784,0.99992,0.99997735,0.9997776
201080604015035,604960301,66,99382.38,PNS,0.0037220295,0.99999833,0.9999993,0.9999999
207816902010019,781690201,19,57253.15,PNX,0.009133711,0.9997651,0.9999349,0.9998523
200813408010014,803910401,86,85115.39,PNS,0.009452839,0.9999753,0.9999968,0.99985445
200813408010069,803910401,74,85089.37,PNX,0.0105148945,0.99999034,0.9999994,0.9996088
208218001010140,821800101,140,78906.41,PNX,0.0100251995,0.99974746,0.99997616,0.9994647
201109504010025,841481401,42,83099.95,PNU,0.009111039,0.99987245,0.9999895,0.9996642
208414821010019,841482101,19,83591.4,PNX,0.018375844,0.99993086,0.99997926,0.99930227
207903805010160,790380501,160,109917.6,PNX,0.018410996,0.9999771,0.99996865,0.99960357
206569901010015,790381401,15,142273.7,PNS,0.012797101,0.9995602,0.99997604,0.9998109
207216201010022,761920901,28,51596.98,PNX,0.020723052,0.9997789,0.9999988,0.9998981
203002702010079,300270201,91,76070.77,PNS,0.01310364,0.99995375,0.9999993,0.9994715
201489601010025,148960101,22,55796.05,PNS,0.018972035,0.99998724,0.99999654,0.99999595
201080604010046,555780401,49,86434.4,PNX,0.010255754,0.99999166,0.99999154,0.9998573
203068701010065,741280201,44,86241.99,PNX,0.010500101,0.9999957,0.9999721,0.9999299
207444503010047,744450301,47,94746.4,PNX,0.011013451,0.9999763,0.99999905,0.9991467
203025001010035,302500101,35,75941.81,PNX,0.008695627,0.9999924,0.9999976,0.99989855
207812103010014,781210301,14,66188.26,PNX,0.011352494,0.99996364,0.99998033,0.999998
207619208010034,761920801,34,64550.8,PNX,0.009289633,0.9999019,0.9999969,0.9999014
200813408010058,803910401,79,85089.37,PNS,0.01031462,0.9999894,0.9999988,0.9999838
207611001010085,790380601,79,96260.79,PNS,0.011983146,0.99995947,0.9999721,0.99918073
202039001010015,203900101,16,88889.55,PNS,0.01238067,0.9999894,0.9999789,0.99941444
201080604010015,604960301,22,99400.6,PNX,0.007269648,0.9999974,0.99999666,0.9999455
200773401015192,555630401,136,103108.6,PNX,0.010400033,0.999806,0.99991345,1.0
205509314010041,694670101,14,84486.96,PNX,0.0142121315,0.9992255,0.99999857,0.9997274
205509314010041,694670101,14,84486.96,PNS,0.0142121315,0.9996691,0.9999994,0.9998958
201503501010063,784330201,20,82913.22,PNS,0.01213406,0.9998859,0.99999785,0.9993212
207277801010019,790380901,18,105359.7,PNS,0.014550647,1.0,1.0,1.0
207446401010015,744640101,15,91357.12,PNX,0.010853258,0.99992144,0.9999957,0.9999981
206704804010046,744640101,11,105812.2,PNS,0.01555557,0.9999858,0.9999367,0.9999927
201080605010079,555780401,46,86410.39,PNS,0.010450286,0.9998902,0.999931,0.99908185
201080606010043,604960301,77,99392.78,PNX,0.00415232,0.99999976,0.99999094,0.999946
205521703010027,552170301,26,67662.4,PNS,0.015499371,0.9995264,0.9999672,0.99936503
208236801010134,831790701,124,102375.0,PNS,0.01120894,0.99994636,0.9999949,0.9993612
208039104010075,803910401,75,85094.58,PNS,0.009652082,0.9999887,0.99999905,0.99989855
201125219010074,824610301,78,78324.12,PNU,0.01025532,0.9997162,0.9999627,0.9992506
208627305010017,862730501,17,64990.78,PNX,0.009577034,0.999959,0.9999875,0.9990767
206569901010043,790380601,61,116691.4,PNS,0.010192803,0.999985,0.99998593,0.99973935
208440201010009,844020101,9,70263.57,PNX,0.011088589,0.99994814,0.99999595,0.99999905
202038101010044,300270201,49,76070.78,PNX,0.012714233,0.99996984,0.9999957,0.9993998
207226702010084,761630301,145,90363.0,PNS,0.009416145,0.9999515,0.99999535,1.0
206019305010010,601930501,11,104247.0,PNS,0.010651516,0.9994518,0.99995935,0.9998951
205549203010017,821240301,5,61985.03,PNX,0.014983677,0.9999397,1.0,0.99995685
208009712010011,800971201,11,54399.8,PNX,0.009252472,0.9990766,0.9999852,0.9998492
200813408010022,803910401,14,85115.38,PNX,0.017135276,0.9999056,0.9999124,0.99999726
201645607010075,824450501,62,77998.95,PNX,0.014061935,0.99992037,0.999992,0.99922967
202124802010104,824450501,88,77991.16,PNX,0.010099866,0.999985,0.99999917,0.9998659
201645607010081,824450501,44,77991.16,PNX,0.01077155,0.9999076,0.99999154,0.99988997
207640101010061,764010101,58,73416.41,PNX,0.014260922,0.99995935,0.9999999,0.99932504
207619209010023,761920901,21,51604.78,PNS,0.018302737,0.99998593,0.99999106,0.99928135
201010401010018,831790601,15,81746.6,PNS,0.013104285,0.9997156,0.99997723,0.99991035
207409601010138,831790701,50,102390.6,PNX,0.010684124,1.0,0.999995,0.9996667
208229601010040,822960101,40,76428.45,PNS,0.01021025,0.99995637,0.99999964,0.9991352
201485605010031,148560501,40,63329.14,PNU,0.009856864,0.9999286,0.9999869,0.99955875
201080606010142,604960301,61,99382.38,PNS,0.006026412,0.9999969,0.999997,1.0
207413002010004,741300201,5,103461.8,PNS,0.015795376,0.9992988,0.9999515,0.999303
207444503010079,744450301,69,94778.8,PNS,0.012582212,0.99997485,0.9999987,0.99917847
208405803010041,840580401,56,105385.8,PNS,0.011766481,0.99981683,0.9999987,0.9995802
208112101010119,811212701,49,71093.47,PNS,0.014111999,0.999902,0.99998975,0.9997924
207446401010009,744640101,9,105781.0,PNS,0.01873378,0.99993515,0.9999429,0.9999274
202026705010133,202670701,103,110273.8,PNX,0.010160831,0.9999231,0.9999888,0.9997638
207207002010067,720700201,69,57538.0,PNX,0.018654738,0.99908805,0.9999819,0.9995503
206944403010023,761550201,44,80739.45,PNS,0.00992602,0.9999604,0.9999958,0.99999833
201489601010012,148960101,9,55777.87,PNX,0.0171115,0.99987936,0.9999608,0.99956137
201010401010130,741280201,61,86239.4,PNS,0.01103964,0.999961,0.9999566,0.99924636
207216201010029,761920901,25,51604.77,PNS,0.015978537,0.999566,0.9999318,0.99974173
201080604010003,604960301,4,99410.99,PNX,0.019432485,0.9999666,0.9999833,0.99992514
208039104010049,803910401,49,85089.39,PNS,0.011194525,0.9999826,0.9999969,0.9993894
201428301010091,824610201,61,77840.56,PNS,0.014347678,0.9998258,0.99995744,0.9999485
201042601010100,824450501,57,78006.75,PNS,0.013995144,0.99990034,0.99999297,0.99932826
207640101010098,764010101,102,73392.3,PNS,0.011698812,0.999956,0.9999995,0.9997851
207446001010022,744600101,24,88632.0,PNS,0.0101479115,0.9999989,0.9999418,0.99969125
201478001010032,147800101,35,101313.8,PNS,0.015587983,0.99960107,0.99998176,0.99996686
201080606010102,604960301,26,99382.38,PNX,0.006728858,0.99998844,0.99997544,1.0
207640101010107,764010101,109,73428.73,PNS,0.016615417,0.99993193,0.99999833,0.9998227
204025611010007,402561101,7,50755.23,PNS,0.01795059,0.9995497,0.9999038,0.99999845
201080604010004,555780101,14,101500.4,PNX,0.0133647565,0.9998727,0.9999052,0.99992716
208019505010040,801950401,15,101233.1,PNX,0.0113904765,0.9999893,0.99999297,0.99977106
207216201010002,761920901,6,51573.6,PNS,0.03495547,0.9992687,0.9999809,0.99999034
201490102010011,149010201,11,54841.16,PNS,0.027930347,0.99979216,0.99995744,0.99999976
208218001010119,821800101,119,108373.2,PNU,0.013326737,0.999153,0.9999559,0.99947816
207903805010076,790380601,74,84686.87,PNX,0.013393478,0.99996734,0.9999863,0.99924964
201092707010082,763120201,63,68949.05,PNS,0.012576344,0.999889,0.9999418,0.9997987
207412802015053,741280201,47,86239.4,PNX,0.010550739,0.9999932,0.9999497,0.999918
201092707010019,763120201,18,68946.38,PNX,0.016517533,0.99998474,0.9999882,0.99987674
201090701010015,506440101,18,85035.57,PNX,0.010961541,0.9999542,0.99999535,0.9999844
201068601010015,693850501,13,110349.2,PNX,0.0099581955,0.99997866,0.99999976,0.9999994
201080604010058,604960301,89,99400.6,PNS,0.0040153493,0.9999999,0.99999964,0.99999666
201428001010001,142800101,1,87985.41,PNS,47.063164,0.99993336,0.9999989,1.0
205021401010061,502140101,61,77982.79,PNS,0.011218739,0.9995115,0.99993134,0.9999865
207823301010034,782330101,29,52087.15,PNU,0.016607203,0.99998045,0.99999094,0.99949086
207413002010015,741300201,17,103474.8,PNS,0.011019657,0.99967587,0.9999789,0.99988973
201489601010049,148960101,50,55746.7,PNS,0.011790658,0.99997985,0.99999976,0.99999833
201485605010020,148560501,21,63339.53,PNU,0.012821699,0.9997303,0.99994206,0.9997694
201125506010049,761630201,49,94860.1,PNX,0.012711789,0.9998518,0.99999666,0.9996339
201068601010005,693850501,9,110339.2,PNX,0.016723163,0.99993265,0.99999917,0.9999753
206935202010014,693520201,13,104387.4,PNS,0.015639178,0.99992704,0.999943,0.99998844
201489601010040,148960101,40,55777.87,PNX,0.014678266,0.99995553,0.9999957,0.9999726
201080604010009,604960301,5,99410.99,PNS,0.015019317,0.9999423,0.9999858,0.9999995
208019505010031,801950401,23,101217.5,PNX,0.011163496,0.9999956,0.99996614,0.99999154
208229601010018,822960101,18,76427.9,PNS,0.012194806,0.99972326,0.9999927,0.9995801
201481701010034,148170101,38,67711.02,PNX,0.011782658,0.99999857,0.99998915,0.99999595
201485605010081,148560501,79,55431.23,PNU,0.011335295,0.9999449,0.99999356,0.9998679
207640101010066,764010101,69,70871.59,PNS,0.0125365695,0.9999999,0.99998605,0.999907
200709404010036,782650101,21,92118.57,PNX,0.010150407,1.0,0.99995637,0.99977046
201010401010014,741280201,10,86239.4,PNS,0.017303536,0.9999753,0.999925,0.9996499
206578201010017,831790701,16,102428.7,PNS,0.0103682745,0.99983954,0.99999416,0.9992601
208039104010120,803910401,120,85115.39,PNX,0.009483106,0.9999815,0.9999305,0.9998691
208039104010128,803910401,128,85110.17,PNS,0.009462358,0.9999893,0.9999989,0.99944276
208039104010027,803910401,27,85089.37,PNX,0.0125333825,0.9999747,0.9999865,0.9998795
208244505010118,824450501,118,77991.16,PNS,0.008778685,0.9999838,0.99999654,0.9998299
206569901010046,790380601,54,116691.4,PNS,0.012010612,0.99993765,0.9999044,0.9993668
206556701010027,784860101,39,89145.22,PNS,0.009889812,0.99995446,0.9999989,0.9997582
207434602010007,801100101,10,75511.78,PNX,0.009967422,0.9999629,0.99999905,0.99982506
203040501010004,304050101,4,50076.75,PNX,0.020857027,1.0,1.0,0.999782
201489601010027,148960101,29,55777.87,PNS,0.01667013,0.9999608,0.99995065,0.9998735
205021201010013,502120101,11,90193.98,PNX,0.020032322,0.99960726,0.99999917,0.9990287
201109903010015,844860701,31,92531.4,PNS,0.0096883,0.9999323,0.99996555,0.99981016
205503501010006,841800201,8,113703.2,PNS,0.02056948,0.9998184,0.99994814,0.99987876
200813408010036,803910401,73,85089.37,PNX,0.010234979,0.9999825,0.99999166,0.9999474
208627302010017,862730601,16,65708.88,PNS,0.010786975,0.999944,0.9999981,0.99999845
208627302010007,862730601,8,65690.32,PNS,0.013281344,0.99992776,0.999987,0.99999464
207277801010041,790380501,114,109914.9,PNX,0.01309198,0.9999546,0.9999517,0.9998325
207277802010038,790380601,83,116691.4,PNX,0.012037778,0.9999858,0.99999726,0.9997434
203023901010077,805050101,90,61095.75,PNS,0.014057866,0.9999918,0.99998224,0.9999962
202038101010080,300270201,52,75903.66,PNS,0.016795602,0.9998566,0.99998,0.9998876
201489601010063,148960101,59,55746.7,PNX,0.013343908,0.99999523,0.99999905,0.9999912
201489601010038,148960101,37,55746.7,PNX,0.012433714,0.9999949,0.9999974,0.99909484
201125903010151,403200101,85,78344.15,PNU,0.02918962,0.99996674,0.9999472,0.9999455
201080604010027,604960301,51,99410.99,PNS,0.004147901,0.99999905,1.0,1.0
208229602010029,822960201,29,86137.89,PNS,0.009919867,0.99987924,0.9999279,0.99999726
201095201010019,210490101,2,87622.6,PNX,0.010194674,0.9995788,0.99992466,0.9993575
200709404010022,782650101,31,92126.34,PNX,0.00883591,0.9999958,0.99999535,0.99999726
201428001010010,142800101,10,87985.41,PNS,0.012154376,0.9992219,0.99992585,0.9995546
203057509010010,841482101,13,100106.9,PNS,0.01750731,0.99928975,0.99997056,0.999542
201042601010050,824450501,46,77996.35,PNX,0.0126414625,0.99997985,0.9999963,0.9996805
207848601010051,784860101,51,89153.02,PNS,0.011184311,0.9999906,0.9999596,0.99955577
207637004010042,763700301,18,53150.15,PNS,0.0067725945,1.0,1.0,0.9999826
201080605010112,604960301,44,99382.38,PNX,0.006504141,0.9999769,0.9999907,0.9999993
201080604010037,604960301,84,99410.99,PNS,0.0035282958,0.99999976,0.99999964,1.0
201010401010035,741280201,35,86262.8,PNX,0.010409332,0.99999523,0.99999356,0.99965274
201489601010021,148960101,21,55746.7,PNS,0.020257466,0.99994874,0.99999917,0.999283
201092703010050,763120401,3,79388.38,PNX,0.03545472,0.9996953,0.9999602,0.9999572
200709401010013,782650101,10,83343.35,PNU,0.036337182,0.99988353,0.9999875,0.9991374
207823301010035,782330101,35,52102.74,PNX,0.021938631,0.9999465,0.9999858,0.999959
202035602010016,203560201,16,60094.97,PNS,0.01945648,0.99950206,0.99995446,0.9999671
208244505010089,824450501,89,77991.16,PNS,0.012025618,0.9999398,0.99999726,0.99945754
207223603010022,722360301,22,103492.0,PNS,0.009833748,0.9999505,0.99999845,1.0
201489601010029,148960101,27,55790.88,PNX,0.018237716,0.99997306,0.99999046,0.9999865
201489601010089,148960101,88,55746.7,PNS,0.010925096,0.99999666,0.9999995,0.99996376
201080604010049,555780401,57,86431.78,PNS,0.009610408,0.9999938,0.99991727,0.99982196
201080605010079,604960301,47,99408.38,PNS,0.00468698,0.99999917,0.9999999,0.9999999
201126101010004,745110301,10,62312.28,PNS,0.015978156,0.9998752,0.99992275,0.9999515
201092707010021,763120201,62,68938.62,PNS,0.011736895,0.9999373,0.99991965,0.9998925
202039001010017,203900101,17,88913.16,PNS,0.0114568975,0.9999794,0.99994755,0.999948
208220501010029,822050101,29,51256.4,PNS,0.007713837,0.999688,0.999987,0.9997689
203002702010057,300270201,57,76070.78,PNX,0.012291078,0.9998858,0.9999665,0.9996656
201042601015128,824450501,197,77996.35,PNS,0.012246962,0.9999386,0.9999951,0.9998826
208244505010032,824450501,32,77996.35,PNS,0.017620489,0.99989986,0.99999774,0.9998136
202124802010103,824450501,123,77991.16,PNX,0.011299111,0.99992526,0.9999988,0.99989295
201111202010029,305540701,37,58765.2,PNS,0.017389195,0.99993694,0.9999883,0.9994716
207623601010012,762360101,12,74643.41,PNX,0.010585622,0.9999938,0.99992144,0.99999166
201481701010024,148170101,23,67711.02,PNX,0.0172404,0.9999527,0.99990606,0.9999944
201080604010067,604960301,54,99400.6,PNS,0.0044013294,0.9999994,1.0,0.9999988
201080604010013,604960301,17,99400.6,PNS,0.0074996445,0.9999981,0.9999999,1.0
201080605010131,604960301,107,99410.99,PNS,0.0039141965,0.9999999,0.9999999,0.99999857
202104801010008,694670101,6,84479.2,PNX,0.022748357,0.9992347,0.9999807,0.99932265
203002405010041,694170101,8,113361.9,PNS,0.01727314,0.9999876,0.99997306,0.9997782
207611001010214,790380501,144,92270.3,PNX,0.018141363,0.9999633,0.999992,0.99906653
203011503010036,764010101,33,73428.73,PNX,0.01741557,0.99982244,0.99999523,0.999964
201489601010042,148960101,44,55809.08,PNX,0.012729959,0.9999893,0.99999297,0.9991284
207252401010057,761550201,47,80734.24,PNS,0.009404627,0.999967,0.9999994,0.9999821
207437002010001,743700201,1,100550.6,PNS,0.23968783,0.99992204,0.9999957,0.9999765
203025001010045,302500101,45,75947.01,PNX,0.008632596,0.999987,0.99999785,0.9998996
208229601010020,822960201,6,103195.6,PNX,0.011566777,0.99974626,0.99997926,0.99993026
207216201010082,761920901,29,51573.6,PNX,0.015180165,0.99982786,0.9999527,0.99992836
